hs_code,commodity,forecast_date,horizon_month,forecast_import_usd_m,lower_80,upper_80,model,historical_12m_import_usd_m,commodity_short
1005,Maize (Corn),2026-11-01,3,26676.94,9769.01,43584.87,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2026-12-01,4,26637.3,9645.1,43629.51,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-01-01,5,26643.01,9561.8,43724.21,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-02-01,6,26642.19,9473.18,43811.19,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-03-01,7,26642.3,9385.85,43898.76,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-04-01,8,26642.29,9298.83,43985.75,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-05-01,9,26642.29,9212.26,44072.32,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-06-01,10,26642.29,9126.12,44158.46,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-07-01,11,26642.29,9040.41,44244.17,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2027-08-01,12,26642.29,8955.1,44329.48,"ARIMA(1,1,1)",334683.63,Maize (Corn)
9401,Seats,2026-09-01,1,25900.64,9264.9,42536.38,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2026-10-01,2,25854.27,9210.54,42497.99,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2026-11-01,3,25858.53,9181.31,42535.74,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2026-12-01,4,25858.13,9156.02,42560.25,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-01-01,5,25858.17,9130.46,42585.88,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-02-01,6,25858.17,9104.96,42611.37,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-03-01,7,25858.17,9079.51,42636.83,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-04-01,8,25858.17,9054.09,42662.24,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-05-01,9,25858.17,9028.71,42687.62,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-06-01,10,25858.17,9003.37,42712.96,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-07-01,11,25858.17,8978.07,42738.26,"ARIMA(1,1,1)",322090.25,Seats
9401,Seats,2027-08-01,12,25858.17,8952.81,42763.53,"ARIMA(1,1,1)",322090.25,Seats
