date,port,teu_throughput,congestion_index,avg_dwell_days,vessel_queue
2024-04-01,Los Angeles,449863.0,0.163,4.01,0
2024-04-01,Long Beach,431314.0,0.363,5.75,2
2024-04-01,New York/Newark,577033.0,0.353,5.58,4
2024-04-01,Savannah,493171.0,0.231,4.91,7
2024-04-01,Houston,620451.0,0.39,6.34,13
2024-04-01,Seattle,329684.0,0.523,7.33,9
2024-04-01,Oakland,295978.0,0.231,4.76,8
2024-04-01,Charleston,903790.0,0.246,5.18,6
2024-04-01,Norfolk,862724.0,0.304,5.64,8
2024-04-01,Miami,500250.0,0.268,5.02,2
2024-05-01,Los Angeles,407210.0,0.462,6.76,12
2024-05-01,Long Beach,465516.0,0.282,5.08,9
2024-05-01,New York/Newark,376875.0,0.432,6.84,2
2024-05-01,Savannah,229405.0,0.173,3.93,1
2024-05-01,Houston,551129.0,0.457,6.5,7
2024-05-01,Seattle,838049.0,0.517,6.72,9
2024-05-01,Oakland,382825.0,0.544,7.65,14
2024-05-01,Charleston,774730.0,0.317,5.56,11
2024-05-01,Norfolk,703351.0,0.431,6.51,15
2024-05-01,Miami,892380.0,0.288,4.86,1
2024-06-01,Los Angeles,658362.0,0.371,6.08,9
2024-06-01,Long Beach,275977.0,0.514,7.36,16
2024-06-01,New York/Newark,375778.0,0.381,6.46,7
2024-06-01,Savannah,700012.0,0.444,6.88,8
2024-06-01,Houston,549104.0,0.401,6.26,5
2024-06-01,Seattle,348027.0,0.326,5.52,6
2024-06-01,Oakland,354745.0,0.163,4.3,6
2024-06-01,Charleston,860872.0,0.375,5.89,9
2024-06-01,Norfolk,205182.0,0.185,4.23,5
2024-06-01,Miami,325432.0,0.496,6.5,9
2024-07-01,Los Angeles,625587.0,0.428,6.23,5
2024-07-01,Long Beach,751743.0,0.464,6.39,11
2024-07-01,New York/Newark,723809.0,0.515,6.71,14
2024-07-01,Savannah,831504.0,0.24,4.61,4
2024-07-01,Houston,855737.0,0.429,6.3,3
2024-07-01,Seattle,801157.0,0.376,6.32,13
2024-07-01,Oakland,626497.0,0.38,5.84,11
2024-07-01,Charleston,216276.0,0.445,6.87,11
2024-07-01,Norfolk,334480.0,0.271,4.89,8
2024-07-01,Miami,447230.0,0.321,5.86,1
2024-08-01,Los Angeles,778592.0,0.38,5.77,13
2024-08-01,Long Beach,256059.0,0.456,6.45,14
2024-08-01,New York/Newark,908382.0,0.262,4.9,9
2024-08-01,Savannah,392347.0,0.509,6.59,17
2024-08-01,Houston,903062.0,0.487,6.8,17
2024-08-01,Seattle,850660.0,0.495,6.66,16
2024-08-01,Oakland,226970.0,0.329,6.11,12
2024-08-01,Charleston,501634.0,0.301,5.52,6
2024-08-01,Norfolk,831545.0,0.486,6.4,15
2024-08-01,Miami,233827.0,0.29,4.95,5
2024-09-01,Los Angeles,299363.0,0.431,6.24,15
2024-09-01,Long Beach,639406.0,0.333,5.38,4
2024-09-01,New York/Newark,309233.0,0.171,4.83,5
2024-09-01,Savannah,566594.0,0.357,6.08,7
2024-09-01,Houston,898606.0,0.25,4.5,9
2024-09-01,Seattle,712136.0,0.323,5.34,7
2024-09-01,Oakland,582550.0,0.448,6.53,15
2024-09-01,Charleston,633957.0,0.356,5.44,13
2024-09-01,Norfolk,597599.0,0.187,4.07,2
2024-09-01,Miami,824849.0,0.349,5.55,11
2024-10-01,Los Angeles,379101.0,0.438,6.01,11
2024-10-01,Long Beach,527182.0,0.52,7.42,14
2024-10-01,New York/Newark,477239.0,0.411,5.91,2
2024-10-01,Savannah,749622.0,0.394,5.99,2
2024-10-01,Houston,701868.0,0.502,6.72,2
2024-10-01,Seattle,281068.0,0.268,4.92,5
2024-10-01,Oakland,601127.0,0.479,6.4,9
2024-10-01,Charleston,276931.0,0.182,4.37,2
2024-10-01,Norfolk,387704.0,0.495,6.94,5
2024-10-01,Miami,570354.0,0.273,5.49,4
2024-11-01,Los Angeles,231316.0,0.397,5.7,7
2024-11-01,Long Beach,579088.0,0.196,4.86,3
2024-11-01,New York/Newark,525712.0,0.462,6.47,10
2024-11-01,Savannah,308229.0,0.416,5.98,8
2024-11-01,Houston,614861.0,0.411,6.21,11
2024-11-01,Seattle,918648.0,0.456,6.3,15
2024-11-01,Oakland,311978.0,0.246,4.83,3
2024-11-01,Charleston,867530.0,0.402,6.71,11
2024-11-01,Norfolk,761327.0,0.32,5.08,5
2024-11-01,Miami,729097.0,0.225,4.48,8
2024-12-01,Los Angeles,498023.0,0.271,5.13,8
2024-12-01,Long Beach,475028.0,0.263,4.73,8
2024-12-01,New York/Newark,588969.0,0.262,4.73,2
2024-12-01,Savannah,340039.0,0.425,6.37,5
2024-12-01,Houston,367973.0,0.537,7.63,6
2024-12-01,Seattle,771047.0,0.487,6.62,11
2024-12-01,Oakland,775420.0,0.384,5.66,2
2024-12-01,Charleston,750170.0,0.273,5.54,1
2024-12-01,Norfolk,704252.0,0.518,7.19,18
2024-12-01,Miami,216415.0,0.425,6.26,16
2025-01-01,Los Angeles,555306.0,0.37,6.11,5
2025-01-01,Long Beach,566045.0,0.432,6.13,4
2025-01-01,New York/Newark,250313.0,0.48,6.66,18
2025-01-01,Savannah,405884.0,0.523,7.32,6
2025-01-01,Houston,879073.0,0.469,7.12,9
2025-01-01,Seattle,287423.0,0.51,7.3,4
2025-01-01,Oakland,767223.0,0.362,5.67,8
2025-01-01,Charleston,898831.0,0.487,6.76,9
2025-01-01,Norfolk,574701.0,0.4,6.22,3
2025-01-01,Miami,616493.0,0.384,6.0,6
2025-02-01,Los Angeles,280909.0,0.415,6.67,4
2025-02-01,Long Beach,663954.0,0.306,5.44,3
2025-02-01,New York/Newark,668339.0,0.238,4.74,3
2025-02-01,Savannah,744546.0,0.263,5.03,6
2025-02-01,Houston,384959.0,0.276,5.08,9
2025-02-01,Seattle,236486.0,0.293,5.62,6
2025-02-01,Oakland,429916.0,0.486,6.71,14
2025-02-01,Charleston,809557.0,0.461,7.16,13
2025-02-01,Norfolk,723410.0,0.504,6.73,18
2025-02-01,Miami,846405.0,0.206,4.64,8
2025-03-01,Los Angeles,682657.0,0.429,5.99,5
2025-03-01,Long Beach,507959.0,0.17,4.28,4
2025-03-01,New York/Newark,777292.0,0.483,7.35,7
2025-03-01,Savannah,233623.0,0.421,6.47,6
2025-03-01,Houston,315119.0,0.412,6.35,13
2025-03-01,Seattle,434521.0,0.399,6.03,7
2025-03-01,Oakland,280147.0,0.478,6.39,16
2025-03-01,Charleston,398450.0,0.448,6.72,16
2025-03-01,Norfolk,250411.0,0.308,5.59,9
2025-03-01,Miami,351528.0,0.515,6.98,17
2025-04-01,Los Angeles,758495.0,0.192,4.43,4
2025-04-01,Long Beach,588105.0,0.456,6.16,15
2025-04-01,New York/Newark,297544.0,0.198,4.82,7
2025-04-01,Savannah,680609.0,0.254,4.96,8
2025-04-01,Houston,369151.0,0.469,6.73,14
2025-04-01,Seattle,507720.0,0.309,5.93,12
2025-04-01,Oakland,740687.0,0.244,5.01,4
2025-04-01,Charleston,475919.0,0.275,4.78,3
2025-04-01,Norfolk,330490.0,0.406,6.4,3
2025-04-01,Miami,321915.0,0.436,6.15,11
2025-05-01,Los Angeles,266963.0,0.446,6.79,12
2025-05-01,Long Beach,710194.0,0.274,5.17,3
2025-05-01,New York/Newark,257481.0,0.391,5.89,14
2025-05-01,Savannah,902800.0,0.286,5.73,6
2025-05-01,Houston,931209.0,0.291,5.75,1
2025-05-01,Seattle,698448.0,0.438,6.08,9
2025-05-01,Oakland,769692.0,0.279,4.77,1
2025-05-01,Charleston,236618.0,0.34,5.6,5
2025-05-01,Norfolk,901219.0,0.431,6.8,2
2025-05-01,Miami,800803.0,0.545,6.92,21
2025-06-01,Los Angeles,786140.0,0.229,4.9,5
2025-06-01,Long Beach,849026.0,0.278,5.23,6
2025-06-01,New York/Newark,750609.0,0.417,6.2,16
2025-06-01,Savannah,540508.0,0.4,5.98,6
2025-06-01,Houston,503785.0,0.309,5.33,6
2025-06-01,Seattle,820968.0,0.318,5.47,4
2025-06-01,Oakland,422421.0,0.528,7.58,8
2025-06-01,Charleston,845627.0,0.329,5.29,3
2025-06-01,Norfolk,872196.0,0.455,6.65,9
2025-06-01,Miami,280160.0,0.207,4.53,4
2025-07-01,Los Angeles,756091.0,0.458,6.66,13
2025-07-01,Long Beach,630973.0,0.17,4.61,4
2025-07-01,New York/Newark,733519.0,0.296,5.1,5
2025-07-01,Savannah,462324.0,0.414,6.08,16
2025-07-01,Houston,677203.0,0.157,3.83,4
2025-07-01,Seattle,904284.0,0.364,5.62,12
2025-07-01,Oakland,548219.0,0.197,4.1,1
2025-07-01,Charleston,415949.0,0.425,6.7,15
2025-07-01,Norfolk,692800.0,0.282,5.06,5
2025-07-01,Miami,744823.0,0.486,7.31,3
2025-08-01,Los Angeles,516220.0,0.499,7.37,11
2025-08-01,Long Beach,880133.0,0.354,5.9,13
2025-08-01,New York/Newark,617718.0,0.301,5.87,5
2025-08-01,Savannah,422684.0,0.544,6.88,3
2025-08-01,Houston,352157.0,0.445,6.35,5
2025-08-01,Seattle,695963.0,0.28,4.9,3
2025-08-01,Oakland,620509.0,0.513,7.54,19
2025-08-01,Charleston,349399.0,0.367,5.88,10
2025-08-01,Norfolk,442548.0,0.168,4.2,6
2025-08-01,Miami,225872.0,0.54,7.81,4
2025-09-01,Los Angeles,315192.0,0.35,6.03,6
2025-09-01,Long Beach,505121.0,0.453,7.01,6
2025-09-01,New York/Newark,669496.0,0.419,6.0,5
2025-09-01,Savannah,463424.0,0.338,5.44,7
2025-09-01,Houston,556093.0,0.242,4.7,8
2025-09-01,Seattle,286978.0,0.27,5.01,7
2025-09-01,Oakland,316851.0,0.217,4.72,4
2025-09-01,Charleston,226760.0,0.27,5.25,5
2025-09-01,Norfolk,848860.0,0.372,6.43,3
2025-09-01,Miami,559361.0,0.304,5.78,1
2025-10-01,Los Angeles,871522.0,0.338,5.6,12
2025-10-01,Long Beach,281537.0,0.169,4.74,4
2025-10-01,New York/Newark,735910.0,0.249,5.09,8
2025-10-01,Savannah,500114.0,0.391,6.33,2
2025-10-01,Houston,644358.0,0.209,5.1,3
2025-10-01,Seattle,337286.0,0.246,5.38,8
2025-10-01,Oakland,306408.0,0.471,7.17,6
2025-10-01,Charleston,916586.0,0.204,4.74,5
2025-10-01,Norfolk,358425.0,0.391,6.47,14
2025-10-01,Miami,809856.0,0.367,5.9,1
2025-11-01,Los Angeles,245204.0,0.281,5.53,1
2025-11-01,Long Beach,238232.0,0.185,4.46,1
2025-11-01,New York/Newark,668290.0,0.175,4.65,1
2025-11-01,Savannah,306002.0,0.498,7.0,15
2025-11-01,Houston,224395.0,0.312,5.65,3
2025-11-01,Seattle,696967.0,0.17,4.72,3
2025-11-01,Oakland,749878.0,0.452,6.97,11
2025-11-01,Charleston,563910.0,0.153,3.9,2
2025-11-01,Norfolk,680498.0,0.379,5.88,3
2025-11-01,Miami,776579.0,0.447,6.6,8
2025-12-01,Los Angeles,655573.0,0.51,6.61,7
2025-12-01,Long Beach,818706.0,0.521,7.03,15
2025-12-01,New York/Newark,525595.0,0.398,6.15,3
2025-12-01,Savannah,402839.0,0.158,4.42,5
2025-12-01,Houston,902186.0,0.545,6.89,9
2025-12-01,Seattle,488778.0,0.365,5.79,1
2025-12-01,Oakland,236035.0,0.419,6.27,6
2025-12-01,Charleston,244299.0,0.41,6.48,11
2025-12-01,Norfolk,852461.0,0.503,6.69,19
2025-12-01,Miami,865107.0,0.396,5.78,6
2026-01-01,Los Angeles,531312.0,0.429,6.39,6
2026-01-01,Long Beach,554747.0,0.432,6.71,14
2026-01-01,New York/Newark,499975.0,0.253,4.86,2
2026-01-01,Savannah,948919.0,0.439,6.86,8
2026-01-01,Houston,288086.0,0.539,6.95,11
2026-01-01,Seattle,589411.0,0.359,5.48,3
2026-01-01,Oakland,751614.0,0.37,5.8,5
2026-01-01,Charleston,782966.0,0.52,6.85,18
2026-01-01,Norfolk,885844.0,0.322,5.34,12
2026-01-01,Miami,246737.0,0.473,7.17,4
2026-02-01,Los Angeles,514030.0,0.505,7.18,12
2026-02-01,Long Beach,529284.0,0.458,6.39,12
2026-02-01,New York/Newark,674745.0,0.152,4.08,2
2026-02-01,Savannah,885505.0,0.495,6.98,4
2026-02-01,Houston,612409.0,0.549,6.9,10
2026-02-01,Seattle,873334.0,0.51,6.85,10
2026-02-01,Oakland,741210.0,0.407,6.35,12
2026-02-01,Charleston,378706.0,0.437,6.53,8
2026-02-01,Norfolk,225466.0,0.417,6.02,14
2026-02-01,Miami,331635.0,0.471,6.54,8
2026-03-01,Los Angeles,422498.0,0.462,6.68,11
2026-03-01,Long Beach,690864.0,0.585,7.76,7
2026-03-01,New York/Newark,928896.0,0.428,6.48,6
2026-03-01,Savannah,271922.0,0.264,5.58,8
2026-03-01,Houston,410717.0,0.274,4.84,3
2026-03-01,Seattle,293857.0,0.5,7.11,4
2026-03-01,Oakland,929460.0,0.307,5.87,6
2026-03-01,Charleston,379607.0,0.455,6.69,9
2026-03-01,Norfolk,921640.0,0.339,5.34,9
2026-03-01,Miami,297713.0,0.402,6.42,2
2026-04-01,Los Angeles,878595.0,0.667,8.37,25
2026-04-01,Long Beach,430437.0,0.676,7.98,22
2026-04-01,New York/Newark,528512.0,0.468,6.27,16
2026-04-01,Savannah,767657.0,0.526,7.62,16
2026-04-01,Houston,265999.0,0.353,5.52,6
2026-04-01,Seattle,936144.0,0.282,5.1,9
2026-04-01,Oakland,763676.0,0.285,4.82,11
2026-04-01,Charleston,625213.0,0.288,5.23,2
2026-04-01,Norfolk,871106.0,0.173,4.09,4
2026-04-01,Miami,768429.0,0.414,6.48,12
2026-05-01,Los Angeles,330800.0,0.781,9.46,16
2026-05-01,Long Beach,944510.0,0.579,7.72,3
2026-05-01,New York/Newark,459194.0,0.193,4.23,2
2026-05-01,Savannah,719240.0,0.459,6.6,11
2026-05-01,Houston,782824.0,0.307,5.12,1
2026-05-01,Seattle,839190.0,0.26,4.61,5
2026-05-01,Oakland,724159.0,0.544,7.82,11
2026-05-01,Charleston,228515.0,0.198,4.79,7
2026-05-01,Norfolk,924434.0,0.277,4.95,7
2026-05-01,Miami,898794.0,0.501,7.0,10
2026-06-01,Los Angeles,451869.0,0.624,7.98,6
2026-06-01,Long Beach,524238.0,0.667,7.91,20
2026-06-01,New York/Newark,271841.0,0.418,5.93,14
2026-06-01,Savannah,896339.0,0.448,6.84,6
2026-06-01,Houston,320168.0,0.407,6.29,2
2026-06-01,Seattle,749704.0,0.511,6.79,4
2026-06-01,Oakland,593192.0,0.53,6.91,14
2026-06-01,Charleston,912899.0,0.317,6.03,8
2026-06-01,Norfolk,902368.0,0.364,5.52,2
2026-06-01,Miami,847276.0,0.29,4.9,2
2026-07-01,Los Angeles,809302.0,0.415,5.93,4
2026-07-01,Long Beach,637298.0,0.699,8.79,16
2026-07-01,New York/Newark,489925.0,0.209,4.95,3
2026-07-01,Savannah,910003.0,0.17,4.58,6
2026-07-01,Houston,488237.0,0.411,6.71,8
2026-07-01,Seattle,886771.0,0.439,6.71,10
2026-07-01,Oakland,704168.0,0.516,6.64,19
2026-07-01,Charleston,718833.0,0.222,4.34,4
2026-07-01,Norfolk,823200.0,0.513,6.81,12
2026-07-01,Miami,847991.0,0.339,5.77,11
2026-08-01,Los Angeles,269741.0,0.504,7.52,16
2026-08-01,Long Beach,326388.0,0.47,6.32,7
2026-08-01,New York/Newark,748768.0,0.173,4.42,1
2026-08-01,Savannah,690690.0,0.464,6.43,11
2026-08-01,Houston,458100.0,0.423,6.48,7
2026-08-01,Seattle,296971.0,0.545,7.01,8
2026-08-01,Oakland,363458.0,0.388,6.01,6
2026-08-01,Charleston,940792.0,0.189,4.59,5
2026-08-01,Norfolk,747211.0,0.427,6.25,5
2026-08-01,Miami,338078.0,0.439,6.69,3
